"Observation station,""Year"",""Month"",""Day"",""Time [Local time]"",""Global radiation mean [W/m2]"""
"Juva Partala,""2023"",""1"",""15"",""16:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""17:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""18:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""19:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""20:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""21:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""22:00"",""0"""
"Juva Partala,""2023"",""1"",""15"",""23:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""09:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""10:00"",""2.3"""
"Juva Partala,""2023"",""1"",""16"",""11:00"",""17.4"""
"Juva Partala,""2023"",""1"",""16"",""12:00"",""24.7"""
"Juva Partala,""2023"",""1"",""16"",""13:00"",""28"""
"Juva Partala,""2023"",""1"",""16"",""14:00"",""17.6"""
"Juva Partala,""2023"",""1"",""16"",""15:00"",""11.3"""
"Juva Partala,""2023"",""1"",""16"",""16:00"",""1"""
"Juva Partala,""2023"",""1"",""16"",""17:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""18:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""19:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""20:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""21:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""22:00"",""0"""
"Juva Partala,""2023"",""1"",""16"",""23:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""09:00"",""0.1"""
"Juva Partala,""2023"",""1"",""17"",""10:00"",""9.2"""
"Juva Partala,""2023"",""1"",""17"",""11:00"",""35.2"""
"Juva Partala,""2023"",""1"",""17"",""12:00"",""39.7"""
"Juva Partala,""2023"",""1"",""17"",""13:00"",""42.7"""
"Juva Partala,""2023"",""1"",""17"",""14:00"",""28.5"""
"Juva Partala,""2023"",""1"",""17"",""15:00"",""9"""
"Juva Partala,""2023"",""1"",""17"",""16:00"",""0.6"""
"Juva Partala,""2023"",""1"",""17"",""17:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""18:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""19:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""20:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""21:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""22:00"",""0"""
"Juva Partala,""2023"",""1"",""17"",""23:00"",""0"""
"Juva Partala,""2023"",""1"",""18"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""18"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""18"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""18"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""18"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""18"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""18"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""18"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""18"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""18"",""09:00"",""0.1"""
"Juva Partala,""2023"",""1"",""18"",""10:00"",""7.3"""
"Juva Partala,""2023"",""1"",""18"",""11:00"",""24.4"""
"Juva Partala,""2023"",""1"",""18"",""12:00"",""30.8"""
"Juva Partala,""2023"",""1"",""18"",""13:00"",""26.1"""
"Juva Partala,""2023"",""1"",""18"",""14:00"",""15.9"""
"Juva Partala,""2023"",""1"",""18"",""15:00"",""5.4"""
"Juva Partala,""2023"",""1"",""18"",""16:00"",""0.5"""
